Component,Count,Files
"StepIndicatorPaging",2,"telia.no/step-indicator-block/index|telia.no/step-indicator-block/index"
"AccordionFlexible",2,"telia.no/subscription-accordion-block/index|telia.no/subscription-accordion-block/index"
"StatefulAccordionList",8,"telia.no/subscription-accordion-block/index|telia.no/subscription-accordion-block/index|rapidshop-next/SubscriptionMBBList.tsx|rapidshop-next/FAQ.tsx|rapidshop/WaitQueuePageRoot.tsx|rapidshop/ChooseSubscription.tsx|rapidshop/Terms.tsx|re-css/ServicesContent.tsx"
"RadioButtonWithLabel",15,"telia.no/order-new-sim-card-block/index|telia.no/order-new-sim-card-block/index|rapidshop-next/RouterList.tsx|rapidshop-next/B2BRouterList.tsx|rapidshop/LandingPagePortInB2C.tsx|rapidshop/LandingPageFromCheckout.tsx|rapidshop/ConfirmPageToB2B.tsx|rapidshop/RelatedAccounts.tsx|rapidshop/WebdealAccordionList.tsx|rapidshop/PaymentMethods.tsx|rapidshop/InsuranceModal.tsx|rapidshop/DeliveryMethods.tsx|re-css/RadioButtonListWithImages.tsx|re-css/content.tsx|re-css/RoaSelection/index"
"Form",19,"telia.no/order-new-sim-card-block/index|telia.no/order-new-sim-card-block/index|telia-no-min-side/profile/components/style|telia-no-min-side/common-styles.ts|rapidshop/Form.tsx|minbedrift-main/legal-owner.jsx|cpa-web/FormRow.tsx|cpa-web/FormColumn.tsx|cpa-web/Form.tsx|re-css/Form.tsx|re-css/ProductCharacteristic.tsx|re-css/DirectoryListingContent.tsx|re-css/CommunicationPreferencesContent.tsx|re-css/CallForwardContent.tsx|re-css/form-footer/index|re-css/UrbanAddressForm.tsx|re-css/POBoxAddressForm.tsx|re-css/content.tsx|re-css/AddressForm/index"
"Button",252,"telia.no/order-new-sim-card-block/index|telia.no/ConfirmOrderDialog.jsx|telia.no/OperatingMessagesSearchForm.jsx|telia.no/ChatModalSteps.jsx|telia.no/CallbackModal.jsx|telia.no/berec-block/index|telia.no/address-search-block/index|telia.no/order-new-sim-card-block/index|telia.no/ConfirmOrderDialog.jsx|telia.no/OperatingMessagesSearchForm.jsx|telia.no/ChatModalSteps.jsx|telia.no/CallbackModal.jsx|telia.no/berec-block/index|telia.no/address-search-block/index|telia-no-min-side/WifiAdministrationWithStore/index|telia-no-min-side/WifiSettingsCard.jsx|telia-no-min-side/PortForwarding/index|telia-no-min-side/HomeCentral/index|telia-no-min-side/ErrorCodeResolver.jsx|telia-no-min-side/PortForwardingRuleDisplay/index|telia-no-min-side/PortForwardingRuleEditable.jsx|telia-no-min-side/StaticInternalIP/index|telia-no-min-side/StaticInternalIPEntryEditable.jsx|telia-no-min-side/StaticInternalIPDisplay.jsx|rapidshop-next/revalidate.page.tsx|rapidshop-next/SubscriptionMBBPage.tsx|rapidshop-next/SubscriptionLinesList.tsx|rapidshop-next/SubscriptionGroupListingPage.tsx|rapidshop-next/ShopPickerContent.tsx|rapidshop-next/CollapsibleShop.tsx|rapidshop-next/ShoppingCart.tsx|rapidshop-next/ProductModalDialog.tsx|rapidshop-next/ProductModalDialog.stories.tsx|rapidshop-next/PickRouterPage.tsx|rapidshop-next/HardwareListingPage.tsx|rapidshop-next/AccessoryFilter.tsx|rapidshop-next/CompatibleAccessories.tsx|rapidshop-next/AdminHeader.tsx|rapidshop-next/SubscriptionAccordionButton.tsx|rapidshop-next/AbortReSwitchButton.tsx|rapidshop-next/WebdealInfo.tsx|rapidshop-next/VariantStatus.tsx|rapidshop-next/SubscriptionTextBlock.tsx|rapidshop-next/FeaturedProductStandalone.tsx|rapidshop-next/EmptiedOrderModal.stories.tsx|rapidshop-next/CustomReview.tsx|rapidshop-next/ContentBlockListing.tsx|rapidshop-next/CompatibleAccessoryCard.tsx|rapidshop-next/ClickAndCollectModal.tsx|rapidshop-next/ClickAndCollectModal.stories.tsx|rapidshop-next/BuyButton.tsx|rapidshop-next/B2BRouterList.tsx|rapidshop/UpdatePortingDate.tsx|rapidshop/TestSubscription.jsx|rapidshop/TestMBB.jsx|rapidshop/CampaignTeliaX.tsx|rapidshop/LandingPagePortInB2C.tsx|rapidshop/EnterNumberOrEmail.tsx|rapidshop/ConfirmId.tsx|rapidshop/ShopPickerContent.tsx|rapidshop/QueueContinueButton.tsx|rapidshop/Installment.tsx|rapidshop/ChooseSubscription.tsx|rapidshop/IncompleteOrder.tsx|rapidshop/ChooseSubscription.tsx|rapidshop/ExpandedMemberCard.tsx|rapidshop/B2BOrder.tsx|rapidshop/BankIdAuthentication.tsx|rapidshop/PortingCard.tsx|rapidshop/RegisterVoucher.tsx|rapidshop/VoucherTable.tsx|rapidshop/LandingPageFromCheckout.tsx|rapidshop/LandingPageB2CtoB2C.tsx|rapidshop/LandingPageB2BtoB2C.tsx|rapidshop/SummaryPageToB2B.tsx|rapidshop/LandingPageToB2B.jsx|rapidshop/ConfirmPageToB2B.tsx|rapidshop/ContinueButton.tsx|rapidshop/CollapsibleShop.tsx|rapidshop/SummaryContinueButton.tsx|rapidshop/RequestTransferOfOwnershipContinueButton.tsx|rapidshop/ConfirmNumberContinueButton.tsx|rapidshop/ConfirmIdContinueButton.tsx|rapidshop/ConnectedShoppingCart.tsx|rapidshop/PickupPointList.tsx|rapidshop/PersonalDetailsContinueButton.tsx|rapidshop/AddressSearchCheckButton.tsx|rapidshop/TeliaPlayBenefits.tsx|rapidshop/EsimCard.tsx|rapidshop/SummaryContinueButton.tsx|rapidshop/ChooseVerificationMethod.tsx|rapidshop/PersonalDetailsContinueButton.tsx|rapidshop/DsfMismatchFormContinueButton.tsx|rapidshop/MemberForm.tsx|rapidshop/EditDeliveryAddressForm.tsx|rapidshop/B2BProductCard.tsx|rapidshop/B2BPersonalDetailsContinueButton.tsx|rapidshop/B2BOrganizationCard.tsx|rapidshop/B2BHardwareOnly.tsx|rapidshop/ChooseSubscriptionContinueButton.tsx|rapidshop/AddMemberContinueButton.tsx|rapidshop/NewNumberPanel.tsx|rapidshop/KeepNumberPanel.tsx|rapidshop/InsuranceModal.tsx|rapidshop/ContinueSection.tsx|rapidshop/ContactCard.tsx|rapidshop/AdditionalProductsModal.tsx|rapidshop/VerificationBlock.tsx|minbedrift-main/UserSettings.jsx|minbedrift-main/confirm/index|minbedrift-main/home/index|minbedrift-main/tags.jsx|minbedrift-main/profile/index|minbedrift-main/webshop-cart-content.jsx|minbedrift-main/DeviceListActions.jsx|minbedrift-main/filters.jsx|minbedrift-main/cancelOffboarding.jsx|minbedrift-main/ExpenseShareDropdown.jsx|minbedrift-main/DeviceDetailsToolbar.jsx|cpa-web/VerifyPassword.tsx|cpa-web/RequestAccess.tsx|cpa-web/MyPage.tsx|cpa-web/LoginInfo.tsx|cpa-web/ImpersonateUser.tsx|cpa-web/FieldShowroom.tsx|cpa-web/Users.tsx|cpa-web/User.tsx|cpa-web/SettlementSearch.tsx|cpa-web/SettlementReadyForApprovalList.tsx|cpa-web/SettlementPendingList.tsx|cpa-web/SmscList.tsx|cpa-web/Smsc.tsx|cpa-web/ReservedOaForm.tsx|cpa-web/Permissions.tsx|cpa-web/PendingUser.tsx|cpa-web/Notifications.tsx|cpa-web/MessageChannelList.tsx|cpa-web/MessageChannel.tsx|cpa-web/Products.tsx|cpa-web/ProductTechnicalLegacy.tsx|cpa-web/ProductTechnicalFeatures.tsx|cpa-web/ProductTechnical.tsx|cpa-web/Product.tsx|cpa-web/CustomerList.tsx|cpa-web/Contracts.tsx|cpa-web/Contract.tsx|cpa-web/Contacts.tsx|cpa-web/Contact.tsx|cpa-web/Company.tsx|cpa-web/AccessControlList.tsx|cpa-web/ReportStatisticsTable.tsx|cpa-web/ReportStatisticsReportTable.tsx|cpa-web/ReportStatisticsReport.tsx|cpa-web/ReportStatistics.tsx|cpa-web/ReportMessages.tsx|cpa-web/ReportMessageDetails.tsx|cpa-web/ReportMessageById.tsx|cpa-web/ReportDcbTable.tsx|cpa-web/ReportDcb.tsx|cpa-web/DocumentsMain.tsx|cpa-web/MfaInfo.tsx|cpa-web/Settlement.tsx|cpa-web/PendingSettlement.tsx|cpa-web/MfaSmsEditForm.tsx|cpa-web/MfaQrCode.tsx|cpa-web/MfaAppEditForm.tsx|cpa-web/SettlementAdjustments.tsx|re-css/Submit.tsx|re-css/getComponent.tsx|re-css/NewPasswordOTPForm/index|re-css/Confirmation/index|re-css/SubscribeView.tsx|re-css/ErrorScreenView.tsx|re-css/DoneScreen.tsx|re-css/DeviceList.tsx|re-css/SubscribeView.tsx|re-css/LoginForm.tsx|re-css/ErrorScreenView.tsx|re-css/DoneScreen.tsx|re-css/DeviceList.tsx|re-css/FamilySubscriptions.tsx|re-css/SubscriptionStatusContent.tsx|re-css/OrderListContainer.tsx|re-css/MySubscription.tsx|re-css/login-form.tsx|re-css/SelectMethod.tsx|re-css/OrderFailed.tsx|re-css/AddMoreSubscription.tsx|re-css/ActivateSpotifyContent.tsx|re-css/form-footer/index|re-css/Unsubscribe/index|re-css/PurchaseInfoPanel/index|re-css/content.tsx|re-css/NoLeasings/index|re-css/Leasing/index|re-css/SwitchButton.tsx|re-css/InsuranceClaim.tsx|re-css/StartPackageRegistrationForm/index|re-css/SubscriptionEdit/index|re-css/GdprRequest/index|re-css/LoginSensitive/index|re-css/content.tsx|re-css/CheckAddress/index|re-css/ChangeOwner/index|re-css/NoDamage.tsx|re-css/InsuranceNotApproved.tsx|re-css/HavePlusInsurance.tsx|re-css/DontHavePlusInsuranceWithRemainingCost.tsx|re-css/DontHavePlusInsurance.tsx|re-css/CheckDamage.tsx|re-css/BrokenScreen.tsx|re-css/StolenWithPlusInsurance.tsx|re-css/Stolen.tsx|re-css/LostOrStolenChoose.tsx|re-css/RoaSelection/index|re-css/RoaDownload/index|re-css/ObjectionSelection/index|cps-dp-service-broker-frontend/button.tsx|prototype-tom-gui/UserInfoHeader.tsx|telia-no-purchase/WifixPage.jsx|telia-no-purchase/Recording.jsx|telia-no-purchase/ModemLinking.jsx|telia-no-purchase/ActivateProductPage.jsx|telia-no-purchase/BroadbandsSummerCampaign.jsx|telia-no-purchase/BroadbandPage.jsx|telia-no-purchase/BoxConfirm.jsx|telia-no-purchase/ProductSelectButton.jsx|telia-no-purchase/ModalImpl.jsx|telia-no-purchase/ProductSelectButton.jsx|telia-no-purchase/LinkButtonAndCancel.jsx|telia-no-purchase/ButtonAndCancel.jsx|telia-no-purchase/OptionBanner_old.jsx|telia-no-purchase/WifixPakken.jsx|telia-no-purchase/WifixModem.jsx|telia-no-purchase/PremiumChannelOption.jsx|telia-no-purchase/ChannelOption.jsx|telia-no-purchase/BoxShipping.jsx|telia-no-purchase/BoxCard.jsx|telia-no-purchase/RequestError.jsx|telia-no-purchase/RecordAddonStep.jsx|telia-no-purchase/CancelBox.jsx|telia-no-purchase/PremiumChannelCancelOrOffer.jsx|telia-no-purchase/PremiumChannelCancelConfirm.jsx|telia-no-purchase/BoxAddonModal.jsx|telia-no-purchase/SelectExistingBoxForChange.jsx|telia-no-purchase/BoxCard.jsx|telia-no-purchase/RecordAddon.jsx|telia-no-purchase/Mikro.jsx|telia-no-purchase/FetchError.jsx|telia-no-purchase/GetBoxPriceSummary.jsx|minbedrift-employee-offboarding/DeleteInformationPage.tsx|minbedrift-employee-offboarding/BusinessInformationPage.tsx"
"Alert",118,"telia.no/order-new-sim-card-block/index|telia.no/operating-messages-block/index|telia.no/order-new-sim-card-block/index|telia.no/operating-messages-block/index|telia-no-min-side/InsuranceProofDocumentPage.tsx|telia-no-min-side/SuspendedSubscription.tsx|telia-no-min-side/ReservedSubscription.tsx|telia-no-min-side/OrderReceipt.tsx|telia-no-min-side/overview/index|telia-no-min-side/PaymentInProgress.tsx|telia-no-min-side/InvoiceList.tsx|telia-no-min-side/InvoiceDetailsAccount.tsx|telia-no-min-side/InvoiceDetails.tsx|telia-no-min-side/invoice-detailed-usage/components/index|telia-no-min-side/WifiAdminTabs/index|telia-no-min-side/TeliaSky.tsx|telia-no-min-side/Nettsikkerhet.tsx|telia-no-min-side/IDTyveriForsikring.tsx|telia-no-min-side/AccountUserInvoiceContent.tsx|telia-no-min-side/Status_PaymentInProgress.tsx|telia-no-min-side/Status_GoneToDebtCollection.tsx|telia-no-min-side/DelayedPaymentArrangement.tsx|telia-no-min-side/AccountOwnerInvoiceContent.tsx|telia-no-min-side/AlertNotLoggedInAsLegal.tsx|telia-no-min-side/ChangeSubscriptionViewMbb.tsx|telia-no-min-side/PostponePayment.tsx|telia-no-min-side/PaymentIsDue.tsx|telia-no-min-side/PaymentError.tsx|rapidshop-next/SubscriptionGroupListingPage.tsx|rapidshop-next/ShopPickerContent.tsx|rapidshop-next/ProductDetailsPage.tsx|rapidshop-next/Layout.tsx|rapidshop-next/ReSwitchAlert.tsx|rapidshop/WaitQueuePageRoot.tsx|rapidshop/CampaignTeliaX.tsx|rapidshop/Summary.tsx|rapidshop/EnterNumberOrEmail.tsx|rapidshop/ConfirmId.tsx|rapidshop/ShopPickerContent.tsx|rapidshop/PersonalDetails.tsx|rapidshop/InstallEsim.tsx|rapidshop/PersonalDetails.tsx|rapidshop/IncompleteOrder.tsx|rapidshop/EsimCard.tsx|rapidshop/ConnectedAlert.tsx|rapidshop/ChoosePhoneNumber.tsx|rapidshop/ReSwitchAlert.tsx|rapidshop/AnnouncementText.tsx|rapidshop/DeliveryMethods.tsx|oneportal-frontend/TransferPhoneNumber.tsx|oneportal-frontend/TransferDateForm.tsx|oneportal-frontend/CommitmentTimeInfo.tsx|minbedrift-main/LoadingBar.jsx|minbedrift-main/choose-phonenumber/index|minbedrift-main/multi-step/index|minbedrift-main/access-ribbon/index|minbedrift-main/search-agreement-modal.jsx|minbedrift-main/home/index|minbedrift-main/edit.jsx|minbedrift-main/cancelOffboarding.jsx|minbedrift-main/view-roles.jsx|minbedrift-main/add-role.jsx|cpa-web/LoginInfo.tsx|cpa-web/ImpersonateUser.tsx|cpa-web/ReportPendingInfo.tsx|cpa-web/PendingSettlement.tsx|channel-api-goals-guide/New.tsx|re-css/fetchLocalization.tsx|re-css/Form.tsx|re-css/sms/index|re-css/MySubscriptionPage.tsx|re-css/invoice-pdf/index|re-css/AddMoreSubscriptionPage.tsx|re-css/SuspendedSubscription/index|re-css/Alert.tsx|re-css/B2BWebshop.tsx|re-css/LoginForm.tsx|re-css/SubscriptionStatusContent.tsx|re-css/ChangePassword.tsx|re-css/OrderListContainer.tsx|re-css/OrderDetailPage.tsx|re-css/login.tsx|re-css/CommunicationPreferencesContent.tsx|re-css/OrderFailed.tsx|re-css/AddMoreSubscription.tsx|re-css/form-errors/index|re-css/user-panel.tsx|re-css/content.tsx|re-css/PurchaseInfoPanel/index|re-css/PurchaseErrorPanel/index|re-css/content.tsx|re-css/page.tsx|re-css/SelfAssessment.tsx|re-css/page.tsx|re-css/content.tsx|re-css/StartPackageRegistrationPage/index|re-css/StartPackageRegistrationForm/index|re-css/GdprRequest/index|re-css/LoginSensitive/index|re-css/Switch.todo.tsx|re-css/SelfAssessment.spec.tsx|re-css/NumberChoose.spec.tsx|re-css/ObjectionSelection/index|telia-no-purchase/OrderTvSubscription.jsx|telia-no-purchase/Receipt.jsx|telia-no-purchase/ConfirmDowngrade.jsx|telia-no-purchase/CancelAgreementDetail.jsx|telia-no-purchase/PageComponent.jsx|telia-no-purchase/ManualHandlingInfo.jsx|telia-no-purchase/AlertBox.jsx|telia-no-purchase/PremiumChannelConfirm.jsx|telia-no-purchase/Receipt.jsx|telia-no-purchase/CancelBox.jsx|telia-no-purchase/GetBoksMikro.jsx|telia-no-purchase/PremiumChannelSuspend.jsx|telia-no-purchase/ModemReceipt.jsx|telia-no-purchase/BoxChangeReceipt.jsx|telia-no-purchase/GetBoxSteps.jsx"
"TextBoxWithLabel",40,"telia.no/ValidatedTextBoxWithLabel.jsx|telia.no/ValidatedTextBoxWithLabel.jsx|telia-no-min-side/VoiceMailForm.tsx|telia-no-min-side/HintForm.tsx|telia-no-min-side/CallForwardingForm.tsx|telia-no-min-side/ActivateSimCard.tsx|telia-no-min-side/SSIDPWDialog.jsx|telia-no-min-side/DisabledField.jsx|telia-no-min-side/IPAddressInput/index|telia-no-min-side/ChangeAlias/index|telia-no-min-side/PortForwardingRuleEditable.jsx|telia-no-min-side/StaticInternalIPEntryEditable.jsx|minbedrift-main/invoices/index|minbedrift-main/choose-account/index|minbedrift-main/textinput.jsx|minbedrift-main/order-report.jsx|minbedrift-main/accounts/index|minbedrift-main/subscriptions-services/index|minbedrift-main/subscriptions/index|minbedrift-main/total-report/index|minbedrift-main/tax-report/index|minbedrift-main/sim-not-in-use-table.jsx|minbedrift-main/payments/index|minbedrift-main/tem-report.jsx|minbedrift-main/home/index|minbedrift-main/home/index|minbedrift-main/subscriptions-for-profile/index|minbedrift-main/filters.jsx|minbedrift-main/user.jsx|re-css/getComponent.tsx|re-css/StyleguideInput/index|re-css/CallForwardContent.tsx|cps-dp-service-broker-frontend/sms-app.tsx|cps-dp-service-broker-frontend/service-catalogue.tsx|cps-dp-service-broker-frontend/login.tsx|cps-dp-service-broker-frontend/create-user-form.tsx|cps-dp-service-broker-frontend/create-organization-form.tsx|cps-dp-service-broker-frontend/business-template-form.tsx|cps-dp-service-broker-frontend/business-contract-form.tsx|cps-dp-service-broker-frontend/text-widget.tsx"
"ModalDialog",42,"telia.no/ConfirmOrderDialog.jsx|telia.no/ConfirmOrderDialog.jsx|telia-no-min-side/PostponePayment.tsx|rapidshop-next/EmptiedOrderModal.tsx|rapidshop/PersonalDetails.tsx|rapidshop/PersonalDetails.tsx|rapidshop/KeepAgreementCheckbox.tsx|rapidshop/ConnectedShoppingCart.tsx|rapidshop/WebdealModal.tsx|rapidshop/SmartDiscountModal.tsx|rapidshop/InsuranceModal.tsx|rapidshop/EmptyCartModal.tsx|rapidshop/CreditCheckModal.tsx|rapidshop/ChooseBanModal.tsx|rapidshop/InvalidOrderModal.tsx|rapidshop/EmptiedOrderModal.tsx|rapidshop/NoneOrderModal.tsx|rapidshop/LockedOrderModal.tsx|minbedrift-main/UserSettings.jsx|minbedrift-main/multi-step-vertical/index|minbedrift-main/multi-step/index|minbedrift-main/dialog/index|minbedrift-main/confirm/index|minbedrift-main/tag-category-list.jsx|minbedrift-main/column-field-settings.jsx|minbedrift-main/add-column.jsx|minbedrift-main/add-column-field.jsx|cpa-web/Modal.tsx|cpa-web/SettlementReadyForApprovalList.tsx|cpa-web/SettlementPendingList.tsx|cpa-web/ReportMessagesTable.tsx|re-css/DeviceList.tsx|re-css/DeviceList.tsx|re-css/FamilyModalDialog.tsx|re-css/SubscriptionStatusContent.tsx|re-css/ServicesContent.tsx|re-css/ChangePassword.tsx|re-css/Privacy/index|re-css/ChangeOwner/index|re-css/NoDamage.tsx|re-css/DontHavePlusInsuranceWithRemainingCost.tsx|re-css/LostOrStolenModal.tsx"
"Spinner",98,"telia.no/operating-messages-block/index|telia.no/gdpr-objection-block/index|telia.no/berec-block/index|telia.no/address-search-block/index|telia.no/operating-messages-block/index|telia.no/berec-block/index|telia.no/address-search-block/index|telia-no-min-side/HorseshoeChartPicker/index|telia-no-min-side/Spinner.tsx|telia-no-min-side/RedirectPaymentAuthorisation.tsx|telia-no-min-side/OnlinePayment.tsx|telia-no-min-side/ActivateTV2Play.tsx|telia-no-min-side/AccountUserInvoiceContent.tsx|telia-no-min-side/AccountOwnerInvoiceContent.tsx|telia-no-min-side/PostponePayment.styled.ts|rapidshop-next/VariantStatus.tsx|rapidshop/BankIdRedirect.tsx|rapidshop/ConnectedPickupPointTextField.tsx|oneportal-frontend/NewSubscription.tsx|oneportal-frontend/Subscription.tsx|oneportal-frontend/InvoiceAccount.tsx|oneportal-frontend/EditPersonFlow.tsx|oneportal-frontend/AdditionalProducts.tsx|oneportal-frontend/UndoCancellationReceipt.tsx|oneportal-frontend/SuspendSubscriptionReceipt.tsx|oneportal-frontend/SuspendSubscriptionFlow.tsx|oneportal-frontend/MoveSubscriptionFlow.tsx|oneportal-frontend/EditLimitsFlow.tsx|oneportal-frontend/EditAdditionalProductsFlow.tsx|oneportal-frontend/CancelSubscriptionReceipt.tsx|oneportal-frontend/EditCostSharingSettingsFlow.tsx|oneportal-frontend/Invoices.tsx|oneportal-frontend/InvoiceAccountPicker.tsx|oneportal-frontend/ActiveCommitmentInfo.tsx|oneportal-frontend/TransferPhoneNumber.tsx|oneportal-frontend/NewPhoneNumber.tsx|oneportal-frontend/InvoiceAccountsSelector.tsx|oneportal-frontend/GrantAccessStepFlow.tsx|oneportal-frontend/Summary.tsx|oneportal-frontend/DatapoolStatistics.tsx|oneportal-frontend/InvoiceSubscriptionsList.tsx|oneportal-frontend/ConfirmModal.tsx|oneportal-frontend/SummaryContent.tsx|oneportal-frontend/NotAllowedToChangeForSubscriptionWithCommitment.tsx|oneportal-frontend/AllowedToChangeSubscription.tsx|oneportal-frontend/ActiveCommitmentInfo.tsx|oneportal-frontend/CurrentCosts.tsx|oneportal-frontend/UpdateAdditionalProducts.tsx|oneportal-frontend/Summary.tsx|oneportal-frontend/ChooseANewSubscription.tsx|re-css/fetchLocalization.tsx|re-css/dispatchOnMount.tsx|re-css/fetchLocalization.spec.tsx|re-css/verifyAuthorization.tsx|re-css/SecuredRoute.tsx|re-css/MySubscriptionPage.tsx|re-css/invoice-pdf/index|re-css/AddMoreSubscriptionPage.tsx|re-css/SuspendedSubscription/index|re-css/LoaderWithPadding/index|re-css/Confirmation/index|re-css/LoadingScreen.tsx|re-css/VerifyAuthorization.spec.tsx|re-css/LoadingScreen.tsx|re-css/FamilyContainer.tsx|re-css/FamilyModalDialog.tsx|re-css/getViewMode.tsx|re-css/SubscriptionStatusContent.tsx|re-css/VerifyBankidAuthorization.tsx|re-css/ServicesPage.tsx|re-css/ServicesContent.tsx|re-css/ChangePassword.tsx|re-css/OrderListContainer.tsx|re-css/OrderDetailPage.tsx|re-css/DirectoryListingContent.tsx|re-css/CommunicationPreferencesContent.tsx|re-css/CallForwardContent.tsx|re-css/CheckSpotify.tsx|re-css/ActivateSpotifyContent.tsx|re-css/form-footer/index|re-css/content.tsx|re-css/PurchaseInfoPanel/index|re-css/content.tsx|re-css/content.tsx|re-css/GdprRequest/index|re-css/LoginSensitive/index|re-css/content.tsx|re-css/content.tsx|re-css/CpaInfoGrid/index|re-css/ChangeOwner/index|re-css/Switch.todo.tsx|re-css/NumberChoose.spec.tsx|re-css/RoaDownload/index|cps-dp-service-broker-frontend/spinner.tsx|telia-no-purchase/Spinner.jsx|telia-no-purchase/CenteredSpinner.jsx|telia-no-purchase/CancelBox.jsx|telia-no-purchase/NoBox.jsx"
"TextField",43,"telia.no/OperatingMessagesSearchForm.jsx|telia.no/berec-block/index|telia.no/OperatingMessagesSearchForm.jsx|telia.no/berec-block/index|telia-no-min-side/sim-pin-puk/style|telia-no-min-side/SimDescriptionField.tsx|telia-no-min-side/TeliaTryggCheckout.tsx|telia-no-min-side/TeliaSkyCheckout.tsx|telia-no-min-side/EmailInput.tsx|rapidshop-next/revalidate.page.tsx|rapidshop/LandingPagePortInB2C.tsx|rapidshop/EnterNumberOrEmail.tsx|rapidshop/PortingCard.tsx|rapidshop/RegisterVoucher.tsx|rapidshop/LandingPageFromCheckout.tsx|rapidshop/ConfirmPageToB2B.tsx|rapidshop/NumberField.tsx|rapidshop/AddressInput.tsx|rapidshop/Input.tsx|rapidshop/EsimCard.tsx|rapidshop/EditDeliveryAddressForm.tsx|rapidshop/ConnectedPickupPointTextField.tsx|rapidshop/OrgOrNameInput.tsx|rapidshop/KeepNumberPanel.tsx|rapidshop/VerificationBlock.tsx|oneportal-frontend/DateOfBirthInput.tsx|oneportal-frontend/ConfirmationStep.tsx|oneportal-frontend/AddEmail.tsx|oneportal-frontend/StreetAndPostBoxInputs.tsx|oneportal-frontend/ConfigInputs.tsx|oneportal-frontend/SelectSuspensionReason.tsx|oneportal-frontend/SimActivationField.tsx|oneportal-frontend/SearchModalContent.tsx|oneportal-frontend/UserInput.tsx|oneportal-frontend/FeatureForm.tsx|oneportal-frontend/FeatureAssignmentForm.tsx|oneportal-frontend/AddUserInvitationPanel.tsx|oneportal-frontend/AddOrganizationPanel.tsx|oneportal-frontend/TextFieldForStepFlow.tsx|oneportal-frontend/DateOfBirthInput.tsx|oneportal-frontend/Step1.tsx|oneportal-frontend/SimActivationField.tsx|minbedrift-main/multi-sim-configuration.jsx"
"InputError",3,"telia.no/OperatingMessagesSearchForm.jsx|telia.no/OperatingMessagesSearchForm.jsx|cpa-web/SettlementAdjustments.tsx"
"Label",17,"telia.no/OperatingMessagesSearchForm.jsx|telia.no/OperatingMessagesSearchForm.jsx|telia-no-min-side/VoiceMailForm.tsx|telia-no-min-side/InformationServicesForm.tsx|telia-no-min-side/CallForwardingForm.tsx|oneportal-frontend/GrantAccessStepFlow.tsx|minbedrift-main/beta/index|minbedrift-main/choose-columns.jsx|minbedrift-main/ExpenseShareDropdown.jsx|re-css/TextBoxWithLabel.tsx|re-css/CheckBoxWithLabel.tsx|re-css/SubscriptionPanel/index|re-css/SubscriptionRadioButton/index|re-css/ChangeOwner/index|re-css/RoaSelection/index|cps-dp-service-broker-frontend/business-template-form.tsx|cps-dp-service-broker-frontend/business-contract-form.tsx"
